#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAMDEC1	CXCL9	9606.ENSP00000256412	9606.ENSP00000354901	0	0	0	0	0.532	0	0	0.181	0.600
ADAMTS18	ADAMTS4	9606.ENSP00000282849	9606.ENSP00000356975	0	0	0	0.764	0.065	0	0.900	0.511	0.913
ADAMTS4	HAPLN1	9606.ENSP00000356975	9606.ENSP00000274341	0	0	0	0	0	0	0	0.457	0.457
ADAMTS4	MMP10	9606.ENSP00000356975	9606.ENSP00000279441	0	0	0	0	0	0.066	0	0.476	0.489
ADAMTS4	MMP3	9606.ENSP00000356975	9606.ENSP00000299855	0	0	0	0	0.062	0.066	0	0.832	0.840
ADAMTS4	CXCL8	9606.ENSP00000356975	9606.ENSP00000306512	0	0	0	0	0.063	0	0	0.404	0.417
ADAMTS4	MMP1	9606.ENSP00000356975	9606.ENSP00000322788	0	0	0	0	0	0.066	0	0.687	0.696
ADAMTS4	COL10A1	9606.ENSP00000356975	9606.ENSP00000327368	0	0	0	0	0	0	0	0.568	0.568
ADAMTS4	ANXA8	9606.ENSP00000356975	9606.ENSP00000478026	0	0	0	0	0	0	0	0.410	0.410
ADAMTS4	IL6	9606.ENSP00000356975	9606.ENSP00000385675	0	0	0	0	0.066	0	0	0.509	0.521
ADAMTS4	TNF	9606.ENSP00000356975	9606.ENSP00000398698	0	0	0	0	0	0.059	0	0.549	0.557
ADCYAP1	SNAP25	9606.ENSP00000462647	9606.ENSP00000254976	0	0	0	0	0.283	0	0	0.236	0.429
ADCYAP1	GLP2R	9606.ENSP00000462647	9606.ENSP00000262441	0	0	0	0	0	0.169	0.500	0.186	0.632
ADCYAP1	SLC17A6	9606.ENSP00000462647	9606.ENSP00000263160	0	0	0	0	0.313	0	0	0.459	0.613
ADCYAP1	GNRH1	9606.ENSP00000462647	9606.ENSP00000276414	0	0	0	0	0.082	0	0	0.778	0.787
ADCYAP1	SST	9606.ENSP00000462647	9606.ENSP00000287641	0	0	0	0	0.198	0	0	0.578	0.647
ADCYAP1	SCG2	9606.ENSP00000462647	9606.ENSP00000304133	0	0	0	0	0.180	0	0	0.366	0.458
ADCYAP1	TAC1	9606.ENSP00000462647	9606.ENSP00000321106	0	0	0	0	0.128	0	0	0.695	0.723
ADCYAP1	OPN4	9606.ENSP00000462647	9606.ENSP00000361141	0	0	0	0	0.070	0	0	0.619	0.630
ADCYAP1	AVP	9606.ENSP00000462647	9606.ENSP00000369647	0	0	0	0	0.062	0	0.500	0.120	0.551
ADCYAP1	GAP43	9606.ENSP00000462647	9606.ENSP00000377372	0	0	0	0	0.234	0	0	0.306	0.445
ADCYAP1	CRHR1	9606.ENSP00000462647	9606.ENSP00000381333	0	0	0	0	0.145	0.169	0	0.459	0.582
ADCYAP1	SVEP1	9606.ENSP00000462647	9606.ENSP00000384917	0	0	0	0	0	0	0	0.435	0.435
ADCYAP1	IL6	9606.ENSP00000462647	9606.ENSP00000385675	0	0	0	0	0	0	0	0.481	0.481
ADCYAP1	FSHB	9606.ENSP00000462647	9606.ENSP00000416606	0	0	0	0	0	0	0.500	0.397	0.686
ADH1B	CHRNA3	9606.ENSP00000306606	9606.ENSP00000315602	0	0	0	0	0.051	0	0	0.502	0.507
ADH1B	AVP	9606.ENSP00000306606	9606.ENSP00000369647	0	0	0	0	0	0	0	0.870	0.870
AEBP1	COL6A2	9606.ENSP00000223357	9606.ENSP00000300527	0	0	0	0	0.336	0	0	0.363	0.559
AEBP1	CPB1	9606.ENSP00000223357	9606.ENSP00000417222	0	0	0	0	0	0	0	0.646	0.646
AGBL1	LOXHD1	9606.ENSP00000413001	9606.ENSP00000300591	0	0	0	0	0	0	0	0.762	0.762
AGBL1	RGS22	9606.ENSP00000413001	9606.ENSP00000354109	0	0	0	0	0.064	0	0	0.413	0.427
AGMO	TPH2	9606.ENSP00000341662	9606.ENSP00000329093	0	0	0	0	0.095	0	0	0.368	0.404
AGMO	CDH18	9606.ENSP00000341662	9606.ENSP00000425093	0	0	0	0	0	0	0	0.588	0.588
AGTR1	GABRB2	9606.ENSP00000419422	9606.ENSP00000274547	0	0	0	0	0	0	0	0.445	0.445
AGTR1	CXCL8	9606.ENSP00000419422	9606.ENSP00000306512	0	0	0	0	0	0	0.600	0.305	0.710
AGTR1	AVP	9606.ENSP00000419422	9606.ENSP00000369647	0	0	0	0	0	0	0.600	0.313	0.713
AGTR1	IL6	9606.ENSP00000419422	9606.ENSP00000385675	0	0	0	0	0.063	0	0	0.556	0.566
AGTR1	TNF	9606.ENSP00000419422	9606.ENSP00000398698	0	0	0	0	0	0	0	0.519	0.519
AGTR1	APLNR	9606.ENSP00000419422	9606.ENSP00000475344	0	0	0	0.817	0	0.651	0	0.867	0.706
AK8	RRM2	9606.ENSP00000298545	9606.ENSP00000353770	0	0	0	0	0.064	0	0.900	0.042	0.902
AKAP5	IBSP	9606.ENSP00000378207	9606.ENSP00000226284	0	0	0	0	0	0	0	0.505	0.505
AKAP5	TRPA1	9606.ENSP00000378207	9606.ENSP00000262209	0	0	0	0	0	0.270	0	0.429	0.565
AKAP5	PRKCB	9606.ENSP00000378207	9606.ENSP00000305355	0	0	0	0	0.062	0.789	0	0.119	0.810
AKAP5	RXFP1	9606.ENSP00000378207	9606.ENSP00000405841	0	0	0	0	0	0.270	0	0.793	0.843
ALOX12B	SULT2B1	9606.ENSP00000315167	9606.ENSP00000201586	0	0	0	0	0.063	0	0	0.452	0.465
ALOX12B	CYP4F3	9606.ENSP00000315167	9606.ENSP00000221307	0	0	0	0	0.062	0	0.900	0.290	0.927
ALOX12B	NIPAL4	9606.ENSP00000315167	9606.ENSP00000311687	0	0	0	0	0	0	0	0.857	0.857
ANGPT1	FLT3	9606.ENSP00000428340	9606.ENSP00000241453	0	0	0	0	0	0.135	0.600	0.323	0.745
ANGPT1	THY1	9606.ENSP00000428340	9606.ENSP00000284240	0	0	0	0	0	0	0	0.460	0.460
ANGPT1	CXCL8	9606.ENSP00000428340	9606.ENSP00000306512	0	0	0	0	0	0	0	0.594	0.594
ANGPT1	MET	9606.ENSP00000428340	9606.ENSP00000317272	0	0	0	0	0	0.056	0.600	0.335	0.726
ANGPT1	MMP1	9606.ENSP00000428340	9606.ENSP00000322788	0	0	0	0	0.049	0.070	0	0.404	0.426
ANGPT1	COL4A3	9606.ENSP00000428340	9606.ENSP00000379823	0	0	0	0	0.062	0	0	0.390	0.404
ANGPT1	IL6	9606.ENSP00000428340	9606.ENSP00000385675	0	0	0	0	0	0	0	0.563	0.563
ANGPT1	TNF	9606.ENSP00000428340	9606.ENSP00000398698	0	0	0	0	0	0	0	0.601	0.601
ANKRD1	S100A8	9606.ENSP00000360762	9606.ENSP00000357722	0	0	0	0	0	0	0	0.430	0.430
ANKRD1	TRDN	9606.ENSP00000360762	9606.ENSP00000439281	0	0	0	0	0.529	0	0	0.182	0.598
ANO3	GSX2	9606.ENSP00000256737	9606.ENSP00000319118	0	0	0	0	0	0	0	0.488	0.488
ANXA1	CFTR	9606.ENSP00000366109	9606.ENSP00000003084	0	0	0	0	0	0.064	0	0.520	0.532
ANXA1	MPO	9606.ENSP00000366109	9606.ENSP00000225275	0	0	0	0	0	0	0	0.506	0.506
ANXA1	GNRH1	9606.ENSP00000366109	9606.ENSP00000276414	0	0	0	0	0	0	0.500	0.073	0.516
ANXA1	CXCL8	9606.ENSP00000366109	9606.ENSP00000306512	0	0	0	0	0.152	0	0	0.451	0.514
ANXA1	TAC1	9606.ENSP00000366109	9606.ENSP00000321106	0	0	0	0	0	0	0.500	0.113	0.537
ANXA1	UTS2B	9606.ENSP00000366109	9606.ENSP00000340526	0	0	0	0	0	0	0.500	0	0.499
ANXA1	SLPI	9606.ENSP00000366109	9606.ENSP00000342082	0	0	0	0	0.096	0	0	0.438	0.470
ANXA1	TRPV6	9606.ENSP00000366109	9606.ENSP00000352358	0	0	0	0	0	0	0	0.450	0.450
ANXA1	S100A2	9606.ENSP00000366109	9606.ENSP00000357697	0	0	0	0	0.286	0	0	0.261	0.450
ANXA1	S100A8	9606.ENSP00000366109	9606.ENSP00000357722	0	0	0	0	0.085	0.290	0	0.321	0.520
ANXA1	S100A12	9606.ENSP00000366109	9606.ENSP00000357726	0	0	0	0	0.062	0.290	0	0.477	0.621
ANXA1	CAPS	9606.ENSP00000366109	9606.ENSP00000484912	0	0	0	0	0	0.088	0	0.390	0.419
ANXA1	SERPINB2	9606.ENSP00000366109	9606.ENSP00000401645	0	0	0	0	0.126	0	0	0.374	0.429
ANXA1	IL6	9606.ENSP00000366109	9606.ENSP00000385675	0	0	0	0	0.101	0	0	0.476	0.509
ANXA1	AVP	9606.ENSP00000366109	9606.ENSP00000369647	0	0	0	0	0	0	0.500	0.092	0.526
ANXA1	TNF	9606.ENSP00000366109	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.532	0.542
ANXA1	CD44	9606.ENSP00000366109	9606.ENSP00000398632	0	0	0	0	0.234	0	0	0.475	0.581
ANXA13	S100A12	9606.ENSP00000262219	9606.ENSP00000357726	0	0	0	0	0	0.290	0	0.235	0.433
ANXA13	SERPINB2	9606.ENSP00000262219	9606.ENSP00000401645	0	0	0	0	0	0	0	0.453	0.453
ANXA13	EXT1	9606.ENSP00000262219	9606.ENSP00000367446	0	0	0	0	0	0	0	0.720	0.720
ANXA8	SLPI	9606.ENSP00000478026	9606.ENSP00000342082	0	0	0	0	0.098	0	0	0.405	0.440
ANXA8	IL6	9606.ENSP00000478026	9606.ENSP00000385675	0	0	0	0	0	0	0	0.466	0.465
ANXA8	CD44	9606.ENSP00000478026	9606.ENSP00000398632	0	0	0	0	0	0	0	0.459	0.459
ANXA8	TNF	9606.ENSP00000478026	9606.ENSP00000398698	0	0	0	0	0	0	0	0.510	0.510
ANXA8L1	ATP12A	9606.ENSP00000480221	9606.ENSP00000218548	0	0	0	0	0.064	0	0	0.444	0.458
ANXA8L1	S100A12	9606.ENSP00000480221	9606.ENSP00000357726	0	0	0	0	0	0.290	0	0.218	0.421
APLNR	GRM8	9606.ENSP00000475344	9606.ENSP00000344173	0	0	0	0	0.070	0.056	0	0.539	0.559
APLNR	SPARCL1	9606.ENSP00000475344	9606.ENSP00000414856	0	0	0	0	0.414	0	0	0	0.414
APOBEC3A	NDUFS6	9606.ENSP00000384359	9606.ENSP00000274137	0	0	0	0	0.144	0.531	0	0.048	0.584
APOBEC3D	CD2	9606.ENSP00000216099	9606.ENSP00000358490	0	0	0	0	0.083	0	0	0.448	0.473
APOBEC3D	NDUFS6	9606.ENSP00000216099	9606.ENSP00000274137	0	0	0	0	0.144	0.531	0	0.048	0.584
ATP12A	CFTR	9606.ENSP00000218548	9606.ENSP00000003084	0	0	0	0	0	0.063	0	0.710	0.716
ATP12A	CD44	9606.ENSP00000218548	9606.ENSP00000398632	0	0	0	0	0	0	0	0.433	0.433
ATP12A	HDC	9606.ENSP00000218548	9606.ENSP00000267845	0	0	0	0	0.063	0	0	0.444	0.456
ATP12A	CXCL8	9606.ENSP00000218548	9606.ENSP00000306512	0	0	0	0	0	0	0	0.460	0.459
ATP12A	IL6	9606.ENSP00000218548	9606.ENSP00000385675	0	0	0	0	0	0	0	0.467	0.467
ATP12A	LCT	9606.ENSP00000218548	9606.ENSP00000264162	0	0	0	0	0.064	0.151	0	0.401	0.482
ATP12A	TRPM6	9606.ENSP00000218548	9606.ENSP00000354006	0	0	0	0	0.062	0	0	0.500	0.510
ATP12A	TNF	9606.ENSP00000218548	9606.ENSP00000398698	0	0	0	0	0	0.057	0	0.506	0.514
ATP12A	S100A8	9606.ENSP00000218548	9606.ENSP00000357722	0	0	0	0	0	0	0	0.618	0.618
ATP12A	RS1	9606.ENSP00000218548	9606.ENSP00000369320	0	0	0	0	0	0.640	0	0.048	0.642
ATP12A	SST	9606.ENSP00000218548	9606.ENSP00000287641	0	0	0	0	0.062	0	0	0.653	0.660
ATP12A	RHO	9606.ENSP00000218548	9606.ENSP00000296271	0	0	0	0	0	0	0	0.684	0.684
ATP12A	ATP6V0C	9606.ENSP00000218548	9606.ENSP00000329757	0	0	0	0	0.049	0.056	0	0.726	0.732
AVP	NPTX2	9606.ENSP00000369647	9606.ENSP00000265634	0	0	0	0	0.064	0	0	0.856	0.859
AVP	GABRB2	9606.ENSP00000369647	9606.ENSP00000274547	0	0	0	0	0.062	0	0	0.417	0.430
AVP	GNRH1	9606.ENSP00000369647	9606.ENSP00000276414	0	0	0	0	0.064	0	0.500	0.283	0.635
AVP	SST	9606.ENSP00000369647	9606.ENSP00000287641	0	0	0	0	0.080	0	0	0.555	0.574
AVP	CXCR1	9606.ENSP00000369647	9606.ENSP00000295683	0	0	0	0	0	0	0.600	0	0.600
AVP	OTP	9606.ENSP00000369647	9606.ENSP00000302814	0	0	0	0	0.065	0	0	0.559	0.570
AVP	TAC1	9606.ENSP00000369647	9606.ENSP00000321106	0	0	0	0	0.064	0	0.300	0.325	0.519
AVP	UTS2B	9606.ENSP00000369647	9606.ENSP00000340526	0	0	0	0	0	0	0.500	0.108	0.534
AVP	GRM8	9606.ENSP00000369647	9606.ENSP00000344173	0	0	0	0	0.064	0	0.600	0.081	0.626
AVP	IL6	9606.ENSP00000369647	9606.ENSP00000385675	0	0	0	0	0	0	0	0.459	0.459
AVP	FSHB	9606.ENSP00000369647	9606.ENSP00000416606	0	0	0	0	0.052	0	0.500	0	0.505
AZGP1	MGP	9606.ENSP00000292401	9606.ENSP00000228938	0	0	0	0	0.088	0	0	0.451	0.477
AZGP1	MUSK	9606.ENSP00000292401	9606.ENSP00000363571	0	0	0	0	0	0	0	0.647	0.647
BGLAP	VTN	9606.ENSP00000357255	9606.ENSP00000226218	0	0	0	0	0	0	0	0.489	0.489
BGLAP	IBSP	9606.ENSP00000357255	9606.ENSP00000226284	0	0	0	0	0.065	0	0	0.915	0.917
BGLAP	MGP	9606.ENSP00000357255	9606.ENSP00000228938	0	0	0	0	0	0	0	0.804	0.804
BGLAP	BMP4	9606.ENSP00000357255	9606.ENSP00000245451	0	0	0	0	0	0	0	0.685	0.685
BGLAP	OGN	9606.ENSP00000357255	9606.ENSP00000262551	0	0	0	0	0	0	0	0.469	0.469
BGLAP	WNT2	9606.ENSP00000357255	9606.ENSP00000265441	0	0	0	0	0	0	0	0.559	0.559
BGLAP	THY1	9606.ENSP00000357255	9606.ENSP00000284240	0	0	0	0	0	0	0	0.655	0.655
BGLAP	NELL1	9606.ENSP00000357255	9606.ENSP00000298925	0	0	0	0	0	0	0	0.424	0.424
BGLAP	MMP3	9606.ENSP00000357255	9606.ENSP00000299855	0	0	0	0	0	0	0	0.459	0.459
BGLAP	CXCL8	9606.ENSP00000357255	9606.ENSP00000306512	0	0	0	0	0	0	0	0.417	0.416
BGLAP	HNF4A	9606.ENSP00000357255	9606.ENSP00000312987	0	0	0	0	0	0	0	0.403	0.403
BGLAP	COL10A1	9606.ENSP00000357255	9606.ENSP00000327368	0	0	0	0	0	0	0	0.620	0.620
BGLAP	OSTN	9606.ENSP00000357255	9606.ENSP00000342356	0	0	0	0	0	0	0	0.605	0.605
BGLAP	CALCR	9606.ENSP00000357255	9606.ENSP00000352561	0	0	0	0	0	0	0	0.528	0.528
BGLAP	IGF2	9606.ENSP00000357255	9606.ENSP00000391826	0	0	0	0	0	0	0	0.426	0.426
BGLAP	OMD	9606.ENSP00000357255	9606.ENSP00000364700	0	0	0	0	0	0	0	0.465	0.465
BGLAP	CD44	9606.ENSP00000357255	9606.ENSP00000398632	0	0	0	0	0	0	0	0.590	0.590
BGLAP	TNF	9606.ENSP00000357255	9606.ENSP00000398698	0	0	0	0	0	0	0	0.612	0.612
BGLAP	IL6	9606.ENSP00000357255	9606.ENSP00000385675	0	0	0	0	0	0	0	0.661	0.661
BMP4	TBX15	9606.ENSP00000245451	9606.ENSP00000207157	0	0	0	0	0	0.057	0	0.416	0.426
BMP4	VTN	9606.ENSP00000245451	9606.ENSP00000226218	0	0	0	0	0.062	0	0	0.410	0.423
BMP4	IBSP	9606.ENSP00000245451	9606.ENSP00000226284	0	0	0	0	0	0	0	0.558	0.558
BMP4	MGP	9606.ENSP00000245451	9606.ENSP00000228938	0	0	0	0	0	0	0	0.680	0.680
BMP4	TBX2	9606.ENSP00000245451	9606.ENSP00000240328	0	0	0	0	0.073	0.139	0	0.641	0.688
BMP4	TBX1	9606.ENSP00000245451	9606.ENSP00000331791	0	0	0	0	0	0.057	0	0.401	0.410
BMP4	TNF	9606.ENSP00000245451	9606.ENSP00000398698	0	0	0	0	0	0	0	0.418	0.418
BMP4	HAMP	9606.ENSP00000245451	9606.ENSP00000471894	0	0	0	0	0	0	0	0.422	0.422
BMP4	FOXH1	9606.ENSP00000245451	9606.ENSP00000366534	0	0	0	0	0	0.056	0	0.414	0.423
BMP4	OLFM3	9606.ENSP00000245451	9606.ENSP00000345192	0	0	0	0	0	0	0	0.429	0.429
BMP4	MMP3	9606.ENSP00000245451	9606.ENSP00000299855	0	0	0	0	0	0	0	0.433	0.433
BMP4	EN2	9606.ENSP00000245451	9606.ENSP00000297375	0	0	0	0	0.082	0	0	0.433	0.457
BMP4	THY1	9606.ENSP00000245451	9606.ENSP00000284240	0	0	0	0	0	0	0	0.468	0.468
BMP4	LGR5	9606.ENSP00000245451	9606.ENSP00000266674	0	0	0	0	0.070	0.056	0	0.459	0.483
BMP4	IGF2	9606.ENSP00000245451	9606.ENSP00000391826	0	0	0	0	0.087	0	0	0.460	0.486
BMP4	SFRP2	9606.ENSP00000245451	9606.ENSP00000274063	0	0	0	0	0.085	0	0	0.469	0.494
BMP4	CD44	9606.ENSP00000245451	9606.ENSP00000398632	0	0	0	0	0	0	0	0.503	0.503
BMP4	IL6	9606.ENSP00000245451	9606.ENSP00000385675	0	0	0	0	0	0	0	0.508	0.508
BMP4	ID3	9606.ENSP00000245451	9606.ENSP00000363689	0	0	0	0	0.077	0	0	0.501	0.520
BMP4	SIX3	9606.ENSP00000245451	9606.ENSP00000260653	0	0	0	0	0	0.061	0	0.531	0.541
BMP4	EOMES	9606.ENSP00000245451	9606.ENSP00000388620	0	0	0	0	0	0.059	0	0.561	0.569
BMP4	HNF4A	9606.ENSP00000245451	9606.ENSP00000312987	0	0	0	0	0	0.066	0	0.561	0.572
BMP4	SIX2	9606.ENSP00000245451	9606.ENSP00000304502	0	0	0	0	0.065	0.139	0	0.526	0.585
BMP4	SIX1	9606.ENSP00000245451	9606.ENSP00000247182	0	0	0	0	0.070	0.139	0	0.568	0.624
BMP4	FGF9	9606.ENSP00000245451	9606.ENSP00000371790	0	0	0	0	0.064	0.056	0	0.611	0.627
BMP4	PAX2	9606.ENSP00000245451	9606.ENSP00000359319	0	0	0	0	0.082	0.080	0	0.643	0.672
BMP4	LIF	9606.ENSP00000245451	9606.ENSP00000249075	0	0	0	0	0	0	0	0.683	0.684
BMP4	WNT2	9606.ENSP00000245451	9606.ENSP00000265441	0	0	0	0	0.049	0.145	0	0.645	0.686
BMP4	TBX5	9606.ENSP00000245451	9606.ENSP00000309913	0	0	0	0	0	0.059	0	0.746	0.751
BMP4	GREM2	9606.ENSP00000245451	9606.ENSP00000318650	0	0	0	0	0	0.299	0.600	0.683	0.903
BMP4	SOSTDC1	9606.ENSP00000245451	9606.ENSP00000304930	0	0	0	0	0	0.270	0.900	0.506	0.960
BUB1B	TBX15	9606.ENSP00000287598	9606.ENSP00000207157	0	0	0	0	0	0.060	0	0.400	0.411
BUB1B	MYBL2	9606.ENSP00000287598	9606.ENSP00000217026	0	0	0	0	0.573	0.106	0	0.340	0.726
BUB1B	KIAA1524	9606.ENSP00000287598	9606.ENSP00000295746	0	0	0	0	0.416	0	0	0.071	0.435
BUB1B	CKAP2L	9606.ENSP00000287598	9606.ENSP00000305204	0	0	0	0	0.638	0	0	0.202	0.699
BUB1B	IQGAP3	9606.ENSP00000287598	9606.ENSP00000354451	0	0	0	0	0.753	0	0	0.093	0.766
BUB1B	MKI67	9606.ENSP00000287598	9606.ENSP00000357643	0	0	0	0	0.919	0.270	0	0.366	0.959
BUB1B	RRM2	9606.ENSP00000287598	9606.ENSP00000353770	0	0	0	0	0.957	0	0	0.508	0.978
BUB1B	PTTG1	9606.ENSP00000287598	9606.ENSP00000377536	0	0	0	0	0.820	0.395	0	0.830	0.979
BUB1B	TOP2A	9606.ENSP00000287598	9606.ENSP00000411532	0	0	0	0	0.962	0.056	0	0.643	0.986
BUB1B	NEK2	9606.ENSP00000287598	9606.ENSP00000355966	0	0	0	0	0.907	0.270	0.600	0.654	0.989
C12orf55	RSPH4A	9606.ENSP00000431759	9606.ENSP00000229554	0	0	0	0	0.049	0	0	0.417	0.422
C12orf55	SYT1	9606.ENSP00000431759	9606.ENSP00000261205	0	0	0	0	0	0	0	0.660	0.660
C12orf55	CCNO	9606.ENSP00000431759	9606.ENSP00000282572	0	0	0	0	0	0	0	0.427	0.427
C12orf55	NELL1	9606.ENSP00000431759	9606.ENSP00000298925	0	0	0	0	0	0	0	0.643	0.643
C12orf55	CFAP221	9606.ENSP00000431759	9606.ENSP00000393222	0	0	0	0	0.146	0	0	0.867	0.882
C16orf93	SAMD11	9606.ENSP00000437532	9606.ENSP00000342313	0	0	0	0	0	0	0	0.455	0.455
C16orf93	CFAP45	9606.ENSP00000437532	9606.ENSP00000357079	0	0	0	0	0.192	0	0	0.424	0.514
C1QL3	NEUROD6	9606.ENSP00000298943	9606.ENSP00000297142	0	0	0	0	0.147	0	0	0.647	0.686
C1QL3	GJC3	9606.ENSP00000298943	9606.ENSP00000325775	0	0	0	0	0	0	0	0.436	0.436
C1QL3	KCNS1	9606.ENSP00000298943	9606.ENSP00000307694	0	0	0	0	0.139	0	0	0.390	0.452
C1QL3	FAM132B	9606.ENSP00000298943	9606.ENSP00000442304	0	0	0	0	0	0	0	0.453	0.453
C1QL3	SVOP	9606.ENSP00000298943	9606.ENSP00000479104	0	0	0	0	0.092	0	0	0.434	0.465
C6	VTN	9606.ENSP00000263413	9606.ENSP00000226218	0	0	0	0	0.110	0	0.600	0.188	0.686
C6	HGD	9606.ENSP00000263413	9606.ENSP00000283871	0	0	0	0	0.533	0	0	0	0.533
C6	MASP1	9606.ENSP00000263413	9606.ENSP00000296280	0	0	0	0	0.131	0.077	0	0.563	0.619
C7orf57	CDH18	9606.ENSP00000335500	9606.ENSP00000425093	0	0	0	0	0	0	0	0.451	0.451
C7orf57	CFAP45	9606.ENSP00000335500	9606.ENSP00000357079	0	0	0	0	0	0	0	0.459	0.459
C8orf88	PIWIL1	9606.ENSP00000454561	9606.ENSP00000245255	0	0	0	0	0.062	0	0	0.461	0.472
C9orf50	CCDC81	9606.ENSP00000361556	9606.ENSP00000415528	0	0	0	0	0	0	0	0.464	0.463
CA1	HBD	9606.ENSP00000430656	9606.ENSP00000369654	0	0	0	0	0.645	0	0	0.390	0.774
CA1	STAT4	9606.ENSP00000430656	9606.ENSP00000376134	0	0	0	0	0	0	0.900	0	0.900
CACNA1S	HTR2C	9606.ENSP00000355192	9606.ENSP00000276198	0	0	0	0	0.062	0.056	0.600	0.064	0.624
CACNA1S	PRKCB	9606.ENSP00000355192	9606.ENSP00000305355	0	0	0	0	0.063	0	0.600	0	0.609
CACNA1S	HTR2A	9606.ENSP00000355192	9606.ENSP00000437737	0	0	0	0	0.062	0.056	0.600	0.067	0.625
CACNA1S	TRDN	9606.ENSP00000355192	9606.ENSP00000439281	0	0	0	0	0.158	0	0	0.684	0.722
CALCR	TNF	9606.ENSP00000352561	9606.ENSP00000398698	0	0	0	0	0	0	0	0.403	0.403
CALCR	ZC3H12A	9606.ENSP00000352561	9606.ENSP00000362179	0	0	0	0	0	0	0	0.517	0.517
CALHM1	CYP2C18	9606.ENSP00000329926	9606.ENSP00000285979	0	0	0	0	0	0	0	0.412	0.412
CALHM1	PKD2L1	9606.ENSP00000329926	9606.ENSP00000325296	0	0	0	0	0.064	0	0	0.612	0.621
CALHM1	SV2B	9606.ENSP00000329926	9606.ENSP00000377779	0	0	0	0	0.052	0	0	0.482	0.488
CALHM1	PIRT	9606.ENSP00000329926	9606.ENSP00000462046	0	0	0	0	0.512	0	0	0	0.512
CAMK1G	FOXD2	9606.ENSP00000009105	9606.ENSP00000335493	0	0	0	0	0	0.057	0	0.391	0.401
CAMK1G	OLFM3	9606.ENSP00000009105	9606.ENSP00000345192	0	0	0	0	0.232	0	0	0.393	0.514
CBLN4	SST	9606.ENSP00000064571	9606.ENSP00000287641	0	0	0	0	0.233	0	0	0.257	0.406
CBLN4	SNAP25	9606.ENSP00000064571	9606.ENSP00000254976	0	0	0	0	0.381	0	0	0.095	0.415
CBLN4	OTOG	9606.ENSP00000064571	9606.ENSP00000382323	0	0	0	0	0	0	0	0.432	0.432
CBLN4	PVALB	9606.ENSP00000064571	9606.ENSP00000216200	0	0	0	0	0.294	0	0	0.253	0.450
